img_name,class,subset
000001.jpg,AM General Hummer SUV 2000,train
000002.jpg,AM General Hummer SUV 2000,train
000003.jpg,AM General Hummer SUV 2000,train
000004.jpg,AM General Hummer SUV 2000,train
000005.jpg,AM General Hummer SUV 2000,train
000006.jpg,AM General Hummer SUV 2000,train
000007.jpg,AM General Hummer SUV 2000,train
000008.jpg,AM General Hummer SUV 2000,train
000009.jpg,AM General Hummer SUV 2000,train
000010.jpg,AM General Hummer SUV 2000,train
000011.jpg,AM General Hummer SUV 2000,train
000012.jpg,AM General Hummer SUV 2000,train
000013.jpg,AM General Hummer SUV 2000,train
000014.jpg,AM General Hummer SUV 2000,train
000015.jpg,AM General Hummer SUV 2000,train
000016.jpg,AM General Hummer SUV 2000,train
000017.jpg,AM General Hummer SUV 2000,train
000018.jpg,AM General Hummer SUV 2000,train
000019.jpg,AM General Hummer SUV 2000,train
000020.jpg,AM General Hummer SUV 2000,train
000021.jpg,AM General Hummer SUV 2000,train
000022.jpg,AM General Hummer SUV 2000,train
000023.jpg,AM General Hummer SUV 2000,train
000024.jpg,AM General Hummer SUV 2000,train
000025.jpg,AM General Hummer SUV 2000,train
000026.jpg,AM General Hummer SUV 2000,train
000027.jpg,AM General Hummer SUV 2000,train
000028.jpg,AM General Hummer SUV 2000,train
000029.jpg,AM General Hummer SUV 2000,train
000030.jpg,AM General Hummer SUV 2000,train
000031.jpg,AM General Hummer SUV 2000,train
000032.jpg,AM General Hummer SUV 2000,train
000033.jpg,AM General Hummer SUV 2000,train
000034.jpg,AM General Hummer SUV 2000,train
000035.jpg,AM General Hummer SUV 2000,train
000036.jpg,AM General Hummer SUV 2000,train
000037.jpg,AM General Hummer SUV 2000,train
000038.jpg,AM General Hummer SUV 2000,train
000039.jpg,AM General Hummer SUV 2000,train
000040.jpg,AM General Hummer SUV 2000,train
000041.jpg,AM General Hummer SUV 2000,train
000042.jpg,AM General Hummer SUV 2000,train
000043.jpg,AM General Hummer SUV 2000,train
000044.jpg,AM General Hummer SUV 2000,train
000045.jpg,AM General Hummer SUV 2000,train
000046.jpg,AM General Hummer SUV 2000,test
000047.jpg,AM General Hummer SUV 2000,test
000048.jpg,AM General Hummer SUV 2000,test
000049.jpg,AM General Hummer SUV 2000,test
000050.jpg,AM General Hummer SUV 2000,test
000051.jpg,AM General Hummer SUV 2000,test
000052.jpg,AM General Hummer SUV 2000,test
000053.jpg,AM General Hummer SUV 2000,test
000054.jpg,AM General Hummer SUV 2000,test
000055.jpg,AM General Hummer SUV 2000,test
000056.jpg,AM General Hummer SUV 2000,test
000057.jpg,AM General Hummer SUV 2000,test
000058.jpg,AM General Hummer SUV 2000,test
000059.jpg,AM General Hummer SUV 2000,test
000060.jpg,AM General Hummer SUV 2000,test
000061.jpg,AM General Hummer SUV 2000,test
000062.jpg,AM General Hummer SUV 2000,test
000063.jpg,AM General Hummer SUV 2000,test
000064.jpg,AM General Hummer SUV 2000,test
000065.jpg,AM General Hummer SUV 2000,test
000066.jpg,AM General Hummer SUV 2000,test
000067.jpg,AM General Hummer SUV 2000,test
000068.jpg,AM General Hummer SUV 2000,test
000069.jpg,AM General Hummer SUV 2000,test
000070.jpg,AM General Hummer SUV 2000,test
000071.jpg,AM General Hummer SUV 2000,test
000072.jpg,AM General Hummer SUV 2000,test
000073.jpg,AM General Hummer SUV 2000,test
000074.jpg,AM General Hummer SUV 2000,test
000075.jpg,AM General Hummer SUV 2000,test
000076.jpg,AM General Hummer SUV 2000,test
000077.jpg,AM General Hummer SUV 2000,test
000078.jpg,AM General Hummer SUV 2000,test
000079.jpg,AM General Hummer SUV 2000,test
000080.jpg,AM General Hummer SUV 2000,test
000081.jpg,AM General Hummer SUV 2000,test
000082.jpg,AM General Hummer SUV 2000,test
000083.jpg,AM General Hummer SUV 2000,test
000084.jpg,AM General Hummer SUV 2000,test
